time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2021-11-30 03:00:00,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.8,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.76,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.8,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.84,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.68,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.64,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.64,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.2,0.24,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08,0.32,0.24,0.44,0.16,0.4,0.36,0.4,0.28,0.56,0.52,0.4,0.8,0.24,0.2,0.48,0.16,0.2,0.24,0.6,0.4,0.52,0.4,0.64
2021-12-18 07:00:00,0.56,0.6,0.76,0.6,0.56,0.68,0.64,0.6,0.64,0.64,0.52,0.6,0.68,0.52,0.64,0.52,0.6,0.6,0.64,0.56,0.44,0.52,0.96,0.88,0.64,0.68,0.6,0.64,0.56,0.6,0.6,0.44,0.44,0.72,0.72,0.68,0.64,0.64,0.72,0.6,0.44,0.48,0.6,0.44,0.92,0.68,0.72,0.64,0.6,0.6,0.64,0.6,0.48,0.32,0.52,0.76,0.72,0.68,0.68,0.56,0.52,0.56,0.56,0.8,0.52,0.6,0.68,0.68,0.6,0.6,0.56,0.6,0.56,0.4,0.44,0.28,0.28,0.64,0.6,0.44,0.4,0.36,0.24,0.2,0.48,0.12,0.36,0.32,0.24,0.56,0.36,0.36,0.36,0.24,0.44,0.16,0.4,0.36,0.4,0.32,0.44,0.24,0.36,0.12,0.24,0.2,0.48,0.16,0.2,0.24,0.28,0.6,0.44,0.36,0.36,0.52,0.16,0.24,0.36,0.44,0.24
2021-02-12 01:00:00,0.64,0.72,0.56,0.52,0.6,0.8,0.8,0.8,0.8,0.52,0.44,0.64,0.52,0.52,0.44,0.56,0.72,0.76,0.8,0.76,0.76,0.6,0.44,0.52,0.64,0.6,0.52,0.76,0.8,0.76,0.64,0.8,1.16,0.44,0.44,0.48,0.48,0.6,0.76,0.84,0.8,0.68,0.72,0.72,0.6,0.44,0.64,0.68,0.6,0.76,0.68,0.72,0.6,0.64,0.88,0.32,0.52,0.64,0.72,0.64,0.64,0.64,0.64,0.64,0.48,0.56,0.52,0.6,0.52,0.6,0.44,0.32,0.64,0.4,0.44,0.6,0.72,0.28,0.28,0.44,0.4,0.36,0.4,0.2,0.32,0.48,0.68,0.76,0.36,0.32,0.2,0.32,0.44,0.08,0.32,0.24,0.64,0.68,0.72,0.36,0.4,0.28,0.56,0.52,0.4,0.8,0.36,0.24,0.68,0.6,0.2,0.24,0.6,0.4,0.52,0.4,0.64,0.4,0.36,0.52,0.68
2021-05-22 02:00:00,0.56,0.56,0.8,0.76,0.6,0.56,0.56,0.56,0.4,0.52,0.44,0.6,0.32,0.6,0.56,0.6,0.56,0.48,0.76,0.88,0.84,0.88,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.8,0.8,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.76,0.8,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.8,0.76,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.84,0.8,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.68,0.72,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.64,0.64,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.64,0.4,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.2,0.32,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08,0.32,0.24
2021-08-14 04:00:00,0.8,0.52,0.56,0.56,0.8,0.76,0.6,0.56,0.56,0.56,0.4,0.56,0.68,0.6,0.32,0.6,0.56,0.6,0.56,0.48,0.76,0.88,0.52,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.56,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.52,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.6,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.64,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.6,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.56,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.56,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.36,0.24,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08
2021-08-24 08:00:00,0.64,0.56,0.48,0.8,0.52,0.56,0.56,0.8,0.76,0.6,0.56,0.52,0.48,1.12,0.56,0.68,0.6,0.32,0.6,0.56,0.6,0.56,0.64,0.56,0.48,0.52,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.6,0.76,0.6,0.56,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.68,0.52,0.64,0.52,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.88,0.64,0.68,0.6,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.72,0.68,0.64,0.64,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.72,0.64,0.6,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.68,0.68,0.56,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.68,0.6,0.6,0.56,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.6,0.44,0.4,0.36,0.24,0.2,0.48,0.12,0.36,0.32,0.2
2021-12-02 02:00:00,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.8,0.8,0.8,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.76,0.8,0.76,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.8,0.76,0.64,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.84,0.8,0.68,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.68,0.72,0.6,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.64,0.64,0.64,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.64,0.4,0.44,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.2,0.32,0.48,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08,0.32,0.24,0.64,0.16,0.4,0.36,0.4,0.28,0.56,0.52,0.4,0.8,0.36,0.24,0.48,0.16,0.2,0.24,0.6,0.4,0.52,0.4,0.64,0.4,0.36
2021-01-07 06:00:00,0.48,0.52,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.6,0.56,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.64,0.52,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.68,0.6,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.64,0.64,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.64,0.6,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.68,0.56,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.6,0.56,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.36,0.24,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.36,0.36,0.24,0.44,0.16,0.4,0.36,0.4,0.28,0.56,0.52,0.36,0.12,0.24,0.2,0.48,0.16,0.2,0.24,0.6,0.4,0.52
2021-03-04 04:00:00,0.68,0.6,0.32,0.6,0.56,0.6,0.56,0.48,0.76,0.88,0.84,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.8,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.76,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.8,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.84,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.68,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.64,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.64,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.2,0.24,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08,0.32,0.24,0.44,0.16,0.4,0.36,0.4,0.28,0.56,0.52,0.4,0.8
2021-04-09 04:00:00,0.8,0.52,0.56,0.56,0.8,0.76,0.6,0.56,0.56,0.56,0.4,0.56,0.68,0.6,0.32,0.6,0.56,0.6,0.56,0.48,0.76,0.88,0.52,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.56,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.52,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.6,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.64,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.6,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.56,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.56,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.36,0.24,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08
2021-05-27 01:00:00,0.48,0.64,0.68,0.68,0.56,0.32,0.44,0.76,0.88,0.88,0.96,0.56,0.56,0.8,0.76,0.6,0.56,0.56,0.56,0.4,0.52,0.44,0.6,0.32,0.6,0.56,0.6,0.56,0.48,0.76,0.88,0.84,0.88,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.8,0.8,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.76,0.8,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.8,0.76,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.84,0.8,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.68,0.72,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.64,0.64,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.64,0.4,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.2,0.32
2021-05-27 07:00:00,0.48,0.8,0.52,0.56,0.56,0.8,0.76,0.6,0.56,0.56,0.56,1.12,0.56,0.68,0.6,0.32,0.6,0.56,0.6,0.56,0.48,0.76,0.48,0.52,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.6,0.56,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.64,0.52,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.68,0.6,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.64,0.64,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.64,0.6,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.68,0.56,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.6,0.56,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.36,0.24,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44
2021-09-10 07:00:00,0.56,0.48,0.8,0.52,0.56,0.56,0.8,0.76,0.6,0.56,0.56,0.48,1.12,0.56,0.68,0.6,0.32,0.6,0.56,0.6,0.56,0.48,0.56,0.48,0.52,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.76,0.6,0.56,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.52,0.64,0.52,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.64,0.68,0.6,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.68,0.64,0.64,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.72,0.64,0.6,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.68,0.68,0.56,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.6,0.6,0.56,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.44,0.4,0.36,0.24,0.2,0.48,0.12,0.36,0.32,0.2,0.32
2021-11-09 06:00:00,0.56,0.48,0.52,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.76,0.6,0.56,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.52,0.64,0.52,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.64,0.68,0.6,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.68,0.64,0.64,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.72,0.64,0.6,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.68,0.68,0.56,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.6,0.6,0.56,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.44,0.4,0.36,0.24,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.36,0.36,0.36,0.24,0.44,0.16,0.4,0.36,0.4,0.28,0.56,0.24,0.36,0.12,0.24,0.2,0.48,0.16,0.2,0.24,0.6,0.4
2021-01-19 03:00:00,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.8,0.8,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.76,0.8,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.8,0.76,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.84,0.8,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.68,0.72,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.64,0.64,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.64,0.4,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.2,0.32,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08,0.32,0.24,0.44,0.16,0.4,0.36,0.4,0.28,0.56,0.52,0.4,0.8,0.36,0.2,0.48,0.16,0.2,0.24,0.6,0.4,0.52,0.4,0.64,0.4
2021-03-22 08:00:00,0.64,0.56,0.48,0.8,0.52,0.56,0.56,0.8,0.76,0.6,0.56,0.52,0.48,1.12,0.56,0.68,0.6,0.32,0.6,0.56,0.6,0.56,0.64,0.56,0.48,0.52,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.6,0.76,0.6,0.56,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.68,0.52,0.64,0.52,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.88,0.64,0.68,0.6,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.72,0.68,0.64,0.64,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.72,0.64,0.6,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.68,0.68,0.56,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.68,0.6,0.6,0.56,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.6,0.44,0.4,0.36,0.24,0.2,0.48,0.12,0.36,0.32,0.2
2021-11-26 07:00:00,0.56,0.6,0.76,0.6,0.56,0.68,0.64,0.6,0.64,0.64,0.52,0.6,0.68,0.52,0.64,0.52,0.6,0.6,0.64,0.56,0.44,0.52,0.96,0.88,0.64,0.68,0.6,0.64,0.56,0.6,0.6,0.44,0.44,0.72,0.72,0.68,0.64,0.64,0.72,0.6,0.44,0.48,0.6,0.44,0.92,0.68,0.72,0.64,0.6,0.6,0.64,0.6,0.48,0.32,0.52,0.76,0.72,0.68,0.68,0.56,0.52,0.56,0.56,0.8,0.52,0.6,0.68,0.68,0.6,0.6,0.56,0.6,0.56,0.4,0.44,0.28,0.28,0.64,0.6,0.44,0.4,0.36,0.24,0.2,0.48,0.12,0.36,0.32,0.24,0.56,0.36,0.36,0.36,0.24,0.44,0.16,0.4,0.36,0.4,0.32,0.44,0.24,0.36,0.12,0.24,0.2,0.48,0.16,0.2,0.24,0.28,0.6,0.44,0.36,0.36,0.52,0.16,0.24,0.36,0.44,0.24
2021-01-17 04:00:00,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.8,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.76,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.8,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.84,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.68,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.64,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.64,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.2,0.24,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08,0.32,0.24,0.44,0.16,0.4,0.36,0.4,0.28,0.56,0.52,0.4,0.8,0.24,0.2,0.48,0.16,0.2,0.24,0.6,0.4,0.52,0.4,0.64
2021-04-27 01:00:00,0.56,0.56,0.8,0.76,0.6,0.56,0.56,0.56,0.4,0.52,0.44,0.6,0.32,0.6,0.56,0.6,0.56,0.48,0.76,0.88,0.84,0.88,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.8,0.8,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.76,0.8,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.8,0.76,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.84,0.8,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.68,0.72,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.64,0.64,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.64,0.4,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.2,0.32,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08,0.32,0.24
2021-05-02 02:00:00,0.56,0.56,0.8,0.76,0.6,0.56,0.56,0.56,0.4,0.52,0.44,0.6,0.32,0.6,0.56,0.6,0.56,0.48,0.76,0.88,0.84,0.88,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.8,0.8,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.76,0.8,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.8,0.76,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.84,0.8,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.68,0.72,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.64,0.64,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.64,0.4,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.2,0.32,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08,0.32,0.24
2021-05-02 03:00:00,0.52,0.56,0.56,0.8,0.76,0.6,0.56,0.56,0.56,0.4,0.52,0.68,0.6,0.32,0.6,0.56,0.6,0.56,0.48,0.76,0.88,0.84,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.8,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.76,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.8,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.84,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.68,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.64,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.64,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.2,0.24,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08,0.32
2021-05-26 02:00:00,0.56,0.56,0.8,0.76,0.6,0.56,0.56,0.56,0.4,0.52,0.44,0.6,0.32,0.6,0.56,0.6,0.56,0.48,0.76,0.88,0.84,0.88,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.8,0.8,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.76,0.8,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.8,0.76,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.84,0.8,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.68,0.72,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.64,0.64,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.64,0.4,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.2,0.32,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08,0.32,0.24
2021-05-29 07:00:00,0.48,0.8,0.52,0.56,0.56,0.8,0.76,0.6,0.56,0.56,0.56,1.12,0.56,0.68,0.6,0.32,0.6,0.56,0.6,0.56,0.48,0.76,0.48,0.52,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.6,0.56,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.64,0.52,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.68,0.6,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.64,0.64,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.64,0.6,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.68,0.56,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.6,0.56,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.36,0.24,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44
2021-08-01 03:00:00,0.52,0.56,0.56,0.8,0.76,0.6,0.56,0.56,0.56,0.4,0.52,0.68,0.6,0.32,0.6,0.56,0.6,0.56,0.48,0.76,0.88,0.84,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.8,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.76,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.8,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.84,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.68,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.64,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.64,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.2,0.24,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08,0.32
2021-08-23 08:00:00,0.64,0.56,0.48,0.8,0.52,0.56,0.56,0.8,0.76,0.6,0.56,0.52,0.48,1.12,0.56,0.68,0.6,0.32,0.6,0.56,0.6,0.56,0.64,0.56,0.48,0.52,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.6,0.76,0.6,0.56,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.68,0.52,0.64,0.52,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.88,0.64,0.68,0.6,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.72,0.68,0.64,0.64,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.72,0.64,0.6,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.68,0.68,0.56,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.68,0.6,0.6,0.56,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.6,0.44,0.4,0.36,0.24,0.2,0.48,0.12,0.36,0.32,0.2
2021-08-25 04:00:00,0.8,0.52,0.56,0.56,0.8,0.76,0.6,0.56,0.56,0.56,0.4,0.56,0.68,0.6,0.32,0.6,0.56,0.6,0.56,0.48,0.76,0.88,0.52,0.64,0.72,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.56,0.68,0.64,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.52,0.6,0.6,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.6,0.64,0.56,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.64,0.72,0.6,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.6,0.6,0.64,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.56,0.52,0.56,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.56,0.6,0.56,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.36,0.24,0.2,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08
2021-09-21 01:00:00,0.56,0.8,0.76,0.6,0.56,0.56,0.56,0.4,0.52,0.44,0.36,0.32,0.6,0.56,0.6,0.56,0.48,0.76,0.88,0.84,0.88,0.84,0.68,0.6,0.64,0.72,0.56,0.52,0.6,0.8,0.8,0.8,0.8,0.6,0.64,0.64,0.52,0.52,0.44,0.56,0.72,0.76,0.8,0.76,0.64,0.56,0.44,0.52,0.64,0.6,0.52,0.76,0.8,0.76,0.64,0.6,0.6,0.44,0.44,0.48,0.48,0.6,0.76,0.84,0.8,0.68,0.44,0.48,0.6,0.44,0.64,0.68,0.6,0.76,0.68,0.72,0.6,0.6,0.48,0.32,0.52,0.64,0.72,0.64,0.64,0.64,0.64,0.64,0.56,0.8,0.52,0.6,0.52,0.6,0.44,0.32,0.64,0.4,0.44,0.4,0.44,0.28,0.28,0.44,0.4,0.36,0.4,0.2,0.32,0.48,0.48,0.12,0.36,0.32,0.2,0.32,0.44,0.08,0.32,0.24,0.64
